"baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneID","DE"
2653.79873111433,-5.47787160313982,0.24031602973513,1.16297786652954e-115,1.24393404801629e-112,"gene:AT4G02520","Down Regulated"
3093.95560480108,-10.7948571786552,0.484114590269734,2.51646517890231e-112,2.54997389944243e-109,"gene:AT3G28580","Down Regulated"
1465.64111158656,-7.95581764759647,0.364236592089701,9.91900699412905e-107,9.54853208289833e-104,"gene:AT5G13210","Down Regulated"
1279.39847992363,-6.49384746596251,0.301290759162452,1.14290541891307e-103,1.04782657287302e-100,"gene:AT1G17750","Down Regulated"
1459.15016662317,-5.13515056143768,0.241546946942703,4.59562605524106e-101,4.02179947461619e-98,"gene:AT4G15760","Down Regulated"
1710.81762622905,-6.52164781266661,0.309091773927066,1.85411826423901e-99,1.5520582148432e-96,"gene:AT4G16680","Down Regulated"
1357.38325133786,-6.76254359892828,0.32510340028925,8.89048226049163e-97,7.13201895671856e-94,"gene:AT1G19020","Down Regulated"
1297.49061139379,-6.21312226807745,0.300838633152632,2.28343226339895e-95,1.7585168546888e-92,"gene:AT4G17500","Down Regulated"
2213.93016292808,-6.54965968493349,0.317285939887031,2.58227583829364e-95,1.91217525825644e-92,"gene:AT4G33050","Down Regulated"
2947.62694738175,-6.19723836590083,0.301458722238739,1.63330794822259e-94,1.16466955285665e-91,"gene:AT5G43450","Down Regulated"
1401.68887750156,-8.36782327081245,0.408940518407717,3.74020883781391e-94,2.57179431265826e-91,"gene:AT1G01480","Down Regulated"
1686.66763139765,-6.09040296975948,0.298030132609552,2.02279872605472e-93,1.3429290990597e-90,"gene:AT5G26340","Down Regulated"
2143.66926080113,-10.3919937634816,0.513326010909775,4.28931624416679e-93,2.7527401882981e-90,"gene:AT1G05675","Down Regulated"
2855.93370564098,-4.61793763816824,0.227527392211822,1.18858631651065e-92,7.38188785541275e-90,"gene:AT4G11280","Down Regulated"
3913.43215605326,-7.00053788411833,0.346287171749427,1.33975947405552e-91,8.06074661062216e-89,"gene:AT3G50930","Down Regulated"
9289.08837856317,-4.3680065119963,0.220700148950085,2.00765645184864e-88,1.17131544446794e-85,"gene:AT3G13080","Down Regulated"
2528.23057545819,-3.96024893949841,0.206228602230638,1.13104841389533e-83,6.40472797433142e-81,"gene:AT2G40140","Down Regulated"
2335.70883725277,-4.46613033226317,0.23247657495319,1.99090904244362e-83,1.09517062269049e-80,"gene:AT5G08790","Down Regulated"
1118.45730853851,-8.63125871102438,0.45275470212497,3.25584551328699e-82,1.74124426853651e-79,"gene:AT5G25250","Down Regulated"
1183.40945153264,-6.22647539644465,0.326046889495207,6.56534848388643e-82,3.41628795568285e-79,"gene:AT4G36500","Down Regulated"
2490.49328276913,-4.72321802236214,0.249199945615006,4.10549621662259e-81,2.08008206996407e-78,"gene:AT4G01870","Down Regulated"
2629.4045352498,-4.10473063082059,0.217599868284561,8.73655174519711e-81,4.31294437821231e-78,"gene:AT3G55980","Down Regulated"
996.671843895875,-8.54239021897866,0.452517561538874,1.21269834524082e-80,5.83702031023038e-78,"gene:AT3G23250","Down Regulated"
1322.64365292496,-4.75625769468412,0.253258092126666,1.14096933367273e-79,5.35782501980512e-77,"gene:AT4G12720","Down Regulated"
906.927691062798,-6.73306368960206,0.358414719915428,2.09517860760491e-79,9.6043985076708e-77,"gene:AT1G27730","Down Regulated"
4469.85200176976,-7.22250969990659,0.385905328796247,6.20199854168805e-79,2.77690878890977e-76,"gene:AT2G03760","Down Regulated"
7634.50132951235,-3.60548478769904,0.193745049223435,7.28657086315134e-79,3.18837156427847e-76,"gene:AT1G59870","Down Regulated"
